"","num.predictors","AIC","model"
"1",9,11305.4303699887,"sudi  ~  bw"
"2",2,11364.3450602518,"sudi  ~  dep"
"3",2,11557.1718779317,"sudi  ~  sex"
"4",3,11032.4757561814,"sudi  ~  eth"
"5",18,11128.862224368,"sudi  ~  bw * dep"
"6",18,11294.500687671,"sudi  ~  bw * sex"
"7",27,10809.9309722226,"sudi  ~  bw * eth"
"8",4,11352.7091273896,"sudi  ~  dep * sex"
"9",6,10973.9531846925,"sudi  ~  dep * eth"
"10",6,11016.4386754968,"sudi  ~  sex * eth"
"11",36,11128.830116289,"sudi  ~  bw * dep * sex"
"12",54,10791.1480386825,"sudi  ~  bw * dep * eth"
"13",54,10808.008789033,"sudi  ~  bw * sex * eth"
"14",12,10962.2517063548,"sudi  ~  dep * sex * eth"
"15",108,10825.2051748711,"sudi  ~  bw * dep * sex * eth"
