"","num.predictors","AIC","model"
"1",13,3882.73089129484,"deaths  ~  yod + offset(log(1+pop))"
"2",2,3866.74729792015,"deaths  ~  sex + offset(log(1+pop))"
"3",2,3792.09771329205,"deaths  ~  dep + offset(log(1+pop))"
"4",4,3859.78909319043,"deaths  ~  dhb + offset(log(1+pop))"
"5",9,3678.87143504283,"deaths  ~  bw + offset(log(1+pop))"
"6",3,3522.03599840705,"deaths  ~  eth + offset(log(1+pop))"
"7",2,3711.45721422267,"deaths  ~  pop + offset(log(1+pop))"
"8",14,3874.3705752592,"deaths  ~  yod + sex + offset(log(1+pop))"
"9",14,3799.26579616104,"deaths  ~  yod + dep + offset(log(1+pop))"
"10",16,3868.20105323946,"deaths  ~  yod + dhb + offset(log(1+pop))"
"11",21,3686.18034337066,"deaths  ~  yod + bw + offset(log(1+pop))"
"12",15,3526.46995938853,"deaths  ~  yod + eth + offset(log(1+pop))"
"13",14,3717.27948805451,"deaths  ~  yod + pop + offset(log(1+pop))"
"14",3,3782.22979483885,"deaths  ~  sex + dep + offset(log(1+pop))"
"15",5,3851.100242343,"deaths  ~  sex + dhb + offset(log(1+pop))"
"16",10,3665.80619578823,"deaths  ~  sex + bw + offset(log(1+pop))"
"17",4,3512.23892125041,"deaths  ~  sex + eth + offset(log(1+pop))"
"18",3,3702.70707274209,"deaths  ~  sex + pop + offset(log(1+pop))"
"19",5,3785.10458718729,"deaths  ~  dep + dhb + offset(log(1+pop))"
"20",10,3587.46216285111,"deaths  ~  dep + bw + offset(log(1+pop))"
"21",4,3475.28921599377,"deaths  ~  dep + eth + offset(log(1+pop))"
"22",3,3677.1148475715,"deaths  ~  dep + pop + offset(log(1+pop))"
"23",12,3661.71324779197,"deaths  ~  dhb + bw + offset(log(1+pop))"
"24",6,3524.55209137731,"deaths  ~  dhb + eth + offset(log(1+pop))"
"25",5,3696.71431975337,"deaths  ~  dhb + pop + offset(log(1+pop))"
"26",11,3304.40727094291,"deaths  ~  bw + eth + offset(log(1+pop))"
"27",10,3542.72678902859,"deaths  ~  bw + pop + offset(log(1+pop))"
"28",4,3477.66349106954,"deaths  ~  eth + pop + offset(log(1+pop))"
"29",15,3789.4220205651,"deaths  ~  yod + sex + dep + offset(log(1+pop))"
"30",17,3859.53540084112,"deaths  ~  yod + sex + dhb + offset(log(1+pop))"
"31",22,3673.10102789642,"deaths  ~  yod + sex + bw + offset(log(1+pop))"
"32",16,3516.74797420699,"deaths  ~  yod + sex + eth + offset(log(1+pop))"
"33",15,3708.55631724264,"deaths  ~  yod + sex + pop + offset(log(1+pop))"
"34",17,3792.61560918074,"deaths  ~  yod + dep + dhb + offset(log(1+pop))"
"35",22,3593.83896841899,"deaths  ~  yod + dep + bw + offset(log(1+pop))"
"36",16,3479.72800805842,"deaths  ~  yod + dep + eth + offset(log(1+pop))"
"37",15,3682.96769272726,"deaths  ~  yod + dep + pop + offset(log(1+pop))"
"38",24,3669.77135266955,"deaths  ~  yod + dhb + bw + offset(log(1+pop))"
"39",18,3529.11586112314,"deaths  ~  yod + dhb + eth + offset(log(1+pop))"
"40",17,3702.84179930672,"deaths  ~  yod + dhb + pop + offset(log(1+pop))"
"41",23,3307.62760887003,"deaths  ~  yod + bw + eth + offset(log(1+pop))"
"42",22,3547.73560789271,"deaths  ~  yod + bw + pop + offset(log(1+pop))"
"43",16,3481.94530118656,"deaths  ~  yod + eth + pop + offset(log(1+pop))"
"44",6,3775.35348459347,"deaths  ~  sex + dep + dhb + offset(log(1+pop))"
"45",11,3571.52897190032,"deaths  ~  sex + dep + bw + offset(log(1+pop))"
"46",5,3465.28940276225,"deaths  ~  sex + dep + eth + offset(log(1+pop))"
"47",4,3667.74175831953,"deaths  ~  sex + dep + pop + offset(log(1+pop))"
"48",13,3648.16637459648,"deaths  ~  sex + dhb + bw + offset(log(1+pop))"
"49",7,3514.74099817614,"deaths  ~  sex + dhb + eth + offset(log(1+pop))"
"50",6,3687.55497290315,"deaths  ~  sex + dhb + pop + offset(log(1+pop))"
"51",12,3287.33890774682,"deaths  ~  sex + bw + eth + offset(log(1+pop))"
"52",11,3528.01465811616,"deaths  ~  sex + bw + pop + offset(log(1+pop))"
"53",5,3467.86839361028,"deaths  ~  sex + eth + pop + offset(log(1+pop))"
"54",13,3580.18871240715,"deaths  ~  dep + dhb + bw + offset(log(1+pop))"
"55",7,3480.47759123604,"deaths  ~  dep + dhb + eth + offset(log(1+pop))"
"56",6,3669.56854523279,"deaths  ~  dep + dhb + pop + offset(log(1+pop))"
"57",12,3262.5926592621,"deaths  ~  dep + bw + eth + offset(log(1+pop))"
"58",11,3509.41853548201,"deaths  ~  dep + bw + pop + offset(log(1+pop))"
"59",5,3446.53356609018,"deaths  ~  dep + eth + pop + offset(log(1+pop))"
"60",14,3307.28520169683,"deaths  ~  dhb + bw + eth + offset(log(1+pop))"
"61",13,3526.57350107715,"deaths  ~  dhb + bw + pop + offset(log(1+pop))"
"62",7,3474.6587275691,"deaths  ~  dhb + eth + pop + offset(log(1+pop))"
"63",12,3295.61803075263,"deaths  ~  bw + eth + pop + offset(log(1+pop))"
"64",18,3782.88069052125,"deaths  ~  yod + sex + dep + dhb + offset(log(1+pop))"
"65",23,3577.87985536843,"deaths  ~  yod + sex + dep + bw + offset(log(1+pop))"
"66",17,3469.78765119166,"deaths  ~  yod + sex + dep + eth + offset(log(1+pop))"
"67",16,3673.60790346676,"deaths  ~  yod + sex + dep + pop + offset(log(1+pop))"
"68",25,3656.22321647014,"deaths  ~  yod + sex + dhb + bw + offset(log(1+pop))"
"69",19,3519.37578975755,"deaths  ~  yod + sex + dhb + eth + offset(log(1+pop))"
"70",18,3693.6908904537,"deaths  ~  yod + sex + dhb + pop + offset(log(1+pop))"
"71",24,3290.48323351837,"deaths  ~  yod + sex + bw + eth + offset(log(1+pop))"
"72",23,3533.0229033187,"deaths  ~  yod + sex + bw + pop + offset(log(1+pop))"
"73",17,3472.18197992814,"deaths  ~  yod + sex + eth + pop + offset(log(1+pop))"
"74",25,3586.73899804938,"deaths  ~  yod + dep + dhb + bw + offset(log(1+pop))"
"75",19,3484.95111765547,"deaths  ~  yod + dep + dhb + eth + offset(log(1+pop))"
"76",18,3675.59535061094,"deaths  ~  yod + dep + dhb + pop + offset(log(1+pop))"
"77",24,3265.76557673493,"deaths  ~  yod + dep + bw + eth + offset(log(1+pop))"
"78",23,3514.46207737926,"deaths  ~  yod + dep + bw + pop + offset(log(1+pop))"
"79",17,3450.73825101899,"deaths  ~  yod + dep + eth + pop + offset(log(1+pop))"
"80",26,3310.53021246797,"deaths  ~  yod + dhb + bw + eth + offset(log(1+pop))"
"81",25,3531.72012469103,"deaths  ~  yod + dhb + bw + pop + offset(log(1+pop))"
"82",19,3479.01690592437,"deaths  ~  yod + dhb + eth + pop + offset(log(1+pop))"
"83",24,3298.94119795794,"deaths  ~  yod + bw + eth + pop + offset(log(1+pop))"
"84",14,3564.35189553496,"deaths  ~  sex + dep + dhb + bw + offset(log(1+pop))"
"85",8,3470.49326311302,"deaths  ~  sex + dep + dhb + eth + offset(log(1+pop))"
"86",7,3659.98732578118,"deaths  ~  sex + dep + dhb + pop + offset(log(1+pop))"
"87",13,3245.24863808544,"deaths  ~  sex + dep + bw + eth + offset(log(1+pop))"
"88",12,3493.74868109822,"deaths  ~  sex + dep + bw + pop + offset(log(1+pop))"
"89",6,3436.48612186335,"deaths  ~  sex + dep + eth + pop + offset(log(1+pop))"
"90",15,3290.23328508829,"deaths  ~  sex + dhb + bw + eth + offset(log(1+pop))"
"91",14,3511.43697091685,"deaths  ~  sex + dhb + bw + pop + offset(log(1+pop))"
"92",8,3464.70415683811,"deaths  ~  sex + dhb + eth + pop + offset(log(1+pop))"
"93",13,3278.76551343395,"deaths  ~  sex + bw + eth + pop + offset(log(1+pop))"
